 Pais ,2016,2017,2018
França, 82.7 , 86.9 , 89.4 
Espanha, 75.3 , 81.9 , 82.8 
Estados Unidos, 76.4 , 76.9 , 79.6 
China, 59.3 , 60.7 , 62.9 
Itália, 52.4 , 58.3 , 62.1 
Turquia, 30.3 , 37.6 , 45.8 
México, 35.1 , 39.3 , 41.3 
Alemanha, 35.6 , 37.5 , 38.9 
Tailândia, 32.5 , 35.6 , 38.2 
Reino Unido, 35.8 , 37.7 , 36.3 
Japão, 24.0 , 28.7 , 31.2 
Áustria, 28.1 , 29.5 , 30.8 
Grécia, 24.8 , 27.2 , 30.1 
Hong Kong (China), 26.6 , 27.9 , 29.3 
Malásia, 26.8 , 25.9 , 25.8 
Rússia, 24.6 , 24.4 , 24.6 
Portugal, 18.2 , 21.2 , 22.8 
Canadá, 20.0 , 20.9 , 21.1 
Polônia, 17.5 , 18.4 , 19.6 
Holanda, 15.8 , 17.9 , 19.0 
Brasil, 6.5 , 6.6 , 6.6 
Outros, 492.9 , 527.8 , 562.8 
